window_index,start_date,end_date,start_month,start_iso_week,n_days,n_fills,start_equity,end_equity,return_pct,max_drawdown_pct,short_monthly_drawdown_pct,turnover_annualized,total_fees,fee_ratio_pct_of_initial,passed,violations
0,2025-10-27,2025-11-11,2025-10,2025-W44,12,1,99999.28457163087,99992.60250375977,-0.006682115676848177,-0.0509469261335993,-395.7799513600933,0.429323507952078,0.7154283691406251,0.0007154283691406251,False,monthly_short_dd -3.957800 < floor -0.250000
1,2025-11-10,2025-11-25,2025-11,2025-W46,12,0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,True,
2,2025-11-24,2025-12-10,2025-11,2025-W48,12,5,100000.0,99987.9752749138,-0.01202472508620156,-0.11584699834059631,0.0,2.442991102441866,4.070699817657471,0.004070699817657471,True,
3,2025-12-09,2025-12-24,2025-12,2025-W50,12,5,99996.15775394517,99942.76905155259,-0.05339075379671154,-0.24651639653561208,-255.1123367066192,2.306535023228769,3.8422460548400883,0.003842246054840088,False,monthly_short_dd -2.551123 < floor -0.250000
4,2025-12-23,2026-01-09,2025-12,2025-W52,12,5,99996.19072391739,100280.48003818741,0.28430014404741133,-0.0980357870700832,-342.94678244926087,2.28399441735721,3.8092760826110843,0.003809276082611084,False,monthly_short_dd -3.429468 < floor -0.250000
5,2026-01-08,2026-01-26,2026-01,2026-W02,12,3,99997.65394087564,100283.75560255777,0.2861083739537307,-0.05981425120896722,-29.507719133837796,1.4051900041802188,2.34605912437439,0.00234605912437439,False,monthly_short_dd -0.295077 < floor -0.250000
6,2026-01-23,2026-02-09,2026-01,2026-W04,12,5,99995.99098382378,100694.6928194561,0.6987298478249526,-0.07598245826896388,-46.136854335577794,2.3986432555176864,4.0090161762237555,0.004009016176223755,False,monthly_short_dd -0.461369 < floor -0.250000
7,2026-02-06,2026-02-24,2026-02,2026-W06,12,7,99996.01816683578,99744.02332648392,-0.25200487476554345,-0.2971279330871268,0.0,2.393387066317382,5.4864543998718265,0.005486454399871827,True,
8,2026-02-23,2026-03-10,2026-02,2026-W09,12,4,99996.72461043854,99818.87733565827,-0.17785310016215083,-0.2883394041327314,-527.9494456229764,1.966304107163207,3.2753895614624025,0.0032753895614624027,False,monthly_short_dd -5.279494 < floor -0.250000
9,2026-03-09,2026-03-24,2026-03,2026-W11,12,2,99998.49372248077,100039.24369196319,0.04075058329928716,-0.0747446898733406,-101.02153842838251,0.9036303088257813,1.5062775192260744,0.0015062775192260743,False,monthly_short_dd -1.010215 < floor -0.250000
10,2026-03-23,2026-04-08,2026-03,2026-W13,12,1,99999.21046297607,99930.47041170654,-0.0687405940019703,-0.21319306506649705,-282.3466436792054,0.47351199678873224,0.7895370239257813,0.0007895370239257813,False,monthly_short_dd -2.823466 < floor -0.250000
11,2026-04-07,2026-04-22,2026-04,2026-W15,12,7,99999.19684098205,100406.33121688459,0.4071376458652409,-0.12873666843360443,-22.871763181861095,2.756995054790494,5.358648227691651,0.005358648227691651,True,
12,2026-04-21,2026-05-06,2026-04,2026-W17,12,5,99996.25833658905,100295.77155070037,0.29952442130700696,-0.09229516418596262,-79.40074491405197,2.2426395191155164,3.741663410949707,0.003741663410949707,False,monthly_short_dd -0.794007 < floor -0.250000
