window_index,start_date,end_date,start_month,start_iso_week,n_days,n_fills,start_equity,end_equity,return_pct,max_drawdown_pct,short_monthly_drawdown_pct,turnover_annualized,total_fees,fee_ratio_pct_of_initial,entries_blocked_by_rsi,exits_by_rsi,exits_by_stop_loss,passed,violations
0,2025-10-27,2025-11-11,2025-10,2025-W44,12,1,99999.28457163087,99992.60250375977,-0.006682115676848177,-0.0509469261335993,-395.7799513600933,0.429323507952078,0.7154283691406251,0.0007154283691406251,1,0,0,False,monthly_short_dd -3.957800 < floor -0.250000
1,2025-11-10,2025-11-25,2025-11,2025-W46,12,0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,True,
2,2025-11-24,2025-12-10,2025-11,2025-W48,12,7,100000.0,99959.50759394531,-0.04049240605469295,-0.09741660039063182,0.0,2.3690325814385944,5.585988208007812,0.005585988208007812,12,2,0,True,
3,2025-12-09,2025-12-24,2025-12,2025-W50,12,2,99998.40235228272,99990.73908323975,-0.007663391476964154,-0.12983744833153787,-352.76157735858504,0.9588449535233066,1.5976477172851564,0.0015976477172851564,8,0,0,False,monthly_short_dd -3.527616 < floor -0.250000
4,2025-12-23,2026-01-09,2025-12,2025-W52,12,5,99996.19072391739,100280.48003818741,0.28430014404741133,-0.0980357870700832,-342.94678244926087,2.28399441735721,3.8092760826110843,0.003809276082611084,3,0,0,False,monthly_short_dd -3.429468 < floor -0.250000
5,2026-01-08,2026-01-26,2026-01,2026-W02,12,2,99998.37595455971,100274.84407131997,0.2764726068010148,-0.02945857864017354,-9.707291014694198,0.9727432961176922,1.6240454402923585,0.0016240454402923583,19,0,0,True,
6,2026-01-23,2026-02-09,2026-01,2026-W04,12,4,99997.80439136046,100217.61135180053,0.2198117866466509,-0.05088102452391885,-28.847118633065204,1.3160258527047648,2.8421394104003905,0.0028421394104003904,23,1,0,False,monthly_short_dd -0.288471 < floor -0.250000
7,2026-02-06,2026-02-24,2026-02,2026-W06,12,2,99998.44349340057,99973.4770627365,-0.024966819274252483,-0.10385266935049042,-413.58522369754115,0.9341211904702895,1.5565065994262697,0.00155650659942627,7,0,0,False,monthly_short_dd -4.135852 < floor -0.250000
8,2026-02-23,2026-03-10,2026-02,2026-W09,12,3,99997.53671041146,99896.87865987435,-0.10066053009746279,-0.17283754431511866,-284.8655132073579,1.4782164929076584,2.463289588546753,0.002463289588546753,1,0,0,False,monthly_short_dd -2.848655 < floor -0.250000
9,2026-03-09,2026-03-24,2026-03,2026-W11,12,5,99998.49372248077,99981.75014676666,-0.016743827922627297,-0.12504547755657347,0.0,1.403051783727747,3.799932579040527,0.003799932579040527,1,2,0,True,
10,2026-03-23,2026-04-08,2026-03,2026-W13,12,1,100000.0,99935.37221218567,-0.06462778781433087,-0.10761372557617221,-250.1845552417179,0.4726888472827576,0.7878219940185547,0.0007878219940185547,6,0,0,False,monthly_short_dd -2.501846 < floor -0.250000
11,2026-04-07,2026-04-22,2026-04,2026-W15,12,7,99999.19684098205,100184.52054907453,0.18532519654850255,-0.17269194586623238,-54.79319266596927,2.7541252118174007,5.348988278961182,0.005348988278961181,28,0,1,False,monthly_short_dd -0.547932 < floor -0.250000
12,2026-04-21,2026-05-06,2026-04,2026-W17,12,2,99998.34663961639,100199.03005026092,0.2006867287194014,-0.13200611279909902,-123.10819282910437,0.9912388344210747,1.6533603836059572,0.0016533603836059573,21,0,0,False,monthly_short_dd -1.231082 < floor -0.250000
